mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1911468982696533,0.023307509770412835,0.03489351272583008,0.0008592343352843228,,sqrt,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.6981132075471698,0.6666666666666666,0.7413793103448276,0.76,0.8141592920353983,0.7360636953188124,0.05090444338025395,19,0.9837587006960556,0.9815668202764977,0.9791183294663574,0.9814814814814815,0.9814814814814815,0.9814813626803748,0.0014681619418291227
0.3307497501373291,0.009117218542332332,0.05339603424072266,0.013143475777093128,,sqrt,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.6981132075471698,0.6851851851851852,0.7413793103448276,0.7766990291262136,0.7964601769911505,0.7395673818389092,0.043115436526859945,11,0.9837587006960556,0.9815668202764977,0.9791183294663574,0.9814814814814815,0.9814814814814815,0.9814813626803748,0.0014681619418291227
0.5527762413024903,0.029553373210834982,0.06347613334655762,0.010180161652718754,,sqrt,300,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.7102803738317757,0.6915887850467289,0.7543859649122807,0.7647058823529411,0.8035714285714286,0.7449064869430311,0.03991289762001035,3,0.9837587006960556,0.9815668202764977,0.9791183294663574,0.9814814814814815,0.9814814814814815,0.9814813626803748,0.0014681619418291227
0.20467877388000488,0.03163805067821473,0.044915771484375,0.013354173608383311,,log2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.6981132075471698,0.6666666666666666,0.7413793103448276,0.76,0.8141592920353983,0.7360636953188124,0.05090444338025395,19,0.9837587006960556,0.9815668202764977,0.9791183294663574,0.9814814814814815,0.9814814814814815,0.9814813626803748,0.0014681619418291227
0.34448995590209963,0.014892011870567429,0.049107694625854494,0.006442607442502943,,log2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.6981132075471698,0.6851851851851852,0.7413793103448276,0.7766990291262136,0.7964601769911505,0.7395673818389092,0.043115436526859945,11,0.9837587006960556,0.9815668202764977,0.9791183294663574,0.9814814814814815,0.9814814814814815,0.9814813626803748,0.0014681619418291227
0.524559497833252,0.029174150689481256,0.057332086563110354,0.0014533170807400366,,log2,300,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 300}",0.7102803738317757,0.6915887850467289,0.7543859649122807,0.7647058823529411,0.8035714285714286,0.7449064869430311,0.03991289762001035,3,0.9837587006960556,0.9815668202764977,0.9791183294663574,0.9814814814814815,0.9814814814814815,0.9814813626803748,0.0014681619418291227
0.18872036933898925,0.018718432316653027,0.036870718002319336,0.0020170043151006185,5,sqrt,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7524752475247525,0.7142857142857143,0.7722772277227723,0.6736842105263158,0.7722772277227723,0.7369999255564654,0.03808746998612384,15,0.7969543147208121,0.7960199004975125,0.7989949748743719,0.7970297029702971,0.7978723404255319,0.7973742466977052,0.0010004163193022858
0.3904766082763672,0.08721373743414529,0.04913063049316406,0.006900349644836093,5,sqrt,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.76,0.7142857142857143,0.7647058823529411,0.6808510638297872,0.7843137254901961,0.7408312771917277,0.03776361455336131,9,0.7848101265822784,0.7950617283950617,0.8020050125313283,0.7960199004975125,0.8010610079575596,0.7957915551927481,0.006124553005707541
0.9005463123321533,0.08302824680645214,0.092136812210083,0.015609200194293744,5,sqrt,300,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.76,0.7272727272727273,0.7572815533980582,0.6736842105263158,0.7961165048543689,0.7428709992102941,0.04090542366773676,7,0.7878787878787878,0.7871287128712872,0.8020050125313283,0.7990074441687345,0.8,0.7952039914900275,0.006365384039121467
0.31125679016113283,0.013369612089093715,0.04095726013183594,0.007099859304182924,5,log2,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7524752475247525,0.7142857142857143,0.7722772277227723,0.6736842105263158,0.7722772277227723,0.7369999255564654,0.03808746998612384,15,0.7969543147208121,0.7960199004975125,0.7989949748743719,0.7970297029702971,0.7978723404255319,0.7973742466977052,0.0010004163193022858
